step,episode,ep_reward,ep_max_x,flag_get
37888,187,41.33,695,0
37888,188,84.47,1411,0
37888,189,15.27,294,0
37888,190,68.00,1138,0
38912,191,16.53,312,0
38912,192,15.13,292,0
38912,193,67.93,1128,0
38912,194,94.13,1516,0
38912,195,41.67,699,0
38912,196,49.27,824,0
38912,197,42.33,710,0
39936,198,69.00,1122,0
39936,199,38.47,660,0
39936,200,40.60,686,0
39936,201,39.93,675,0
39936,202,15.93,303,0
39936,203,99.13,1671,0
40960,204,41.47,696,0
40960,205,40.33,683,0
40960,206,121.40,1962,0
40960,207,85.27,1409,0
40960,208,16.53,311,0
41984,209,16.53,311,0
41984,210,67.73,1127,0
41984,211,43.47,722,0
41984,212,39.13,665,0
41984,213,52.67,882,0
41984,214,41.80,706,0
43008,215,93.00,1524,0
43008,216,54.07,898,0
43008,217,52.00,864,0
43008,218,85.40,1435,0
43008,219,41.07,691,0
44032,220,126.87,2020,0
44032,221,39.07,664,0
44032,222,40.20,680,0
44032,223,40.07,674,0
44032,224,16.27,307,0
44032,225,52.67,899,0
44032,226,41.40,693,0
44032,227,39.93,675,0
45056,228,53.60,898,0
45056,229,89.07,1432,0
45056,230,42.20,722,0
45056,231,15.73,301,0
45056,232,16.40,310,0
45056,233,42.47,722,0
45056,234,40.27,690,0
45056,235,14.93,289,0
46080,236,47.27,807,0
46080,237,16.47,311,0
46080,238,46.00,795,0
46080,239,42.53,711,0
46080,240,15.93,302,0
46080,241,51.93,898,0
47104,242,84.87,1414,0
47104,243,42.13,705,0
47104,244,67.33,1126,0
47104,245,41.53,697,0
47104,246,16.33,308,0
47104,247,54.33,898,0
48128,248,102.33,1671,0
48128,249,16.40,310,0
48128,250,42.20,706,0
48128,251,86.80,1413,0
48128,252,41.87,703,0
49152,253,111.40,1796,0
49152,254,41.07,693,0
49152,255,41.60,700,0
49152,256,89.53,1433,0
49152,257,50.87,849,0
49152,258,16.67,313,0
49152,259,88.53,1436,0
49152,260,16.20,306,0
49152,261,16.67,313,0
49152,262,41.33,695,0
50176,263,87.40,1439,0
50176,264,16.73,314,0
50176,265,15.93,303,0
50176,266,16.47,310,0
50176,267,15.87,302,0
50176,268,88.33,1427,0
50176,269,42.13,709,0
50176,270,40.87,686,0
50176,271,69.47,1133,0
51200,272,110.93,1790,0
51200,273,51.73,898,0
52224,274,71.93,1241,0
52224,275,68.00,1122,0
52224,276,42.60,722,0
52224,277,16.67,314,0
52224,278,66.93,1129,0
52224,279,42.40,708,0
53248,280,41.67,699,0
53248,281,48.53,814,0
53248,282,91.07,1527,0
53248,283,43.40,722,0
54272,284,70.13,1150,0
54272,285,104.33,1667,0
54272,286,40.47,679,0
54272,287,15.53,298,0
54272,288,52.53,898,0
55296,289,199.60,3161,1
55296,290,16.53,311,0
55296,291,16.73,315,0
55296,292,88.20,1437,0
55296,293,41.87,710,0
55296,294,68.73,1126,0
55296,295,41.60,696,0
56320,296,52.73,898,0
56320,297,40.87,683,0
56320,298,68.73,1126,0
56320,299,41.80,703,0
56320,300,16.40,309,0
56320,301,47.93,808,0
56320,302,95.80,1524,0
56320,303,41.47,695,0
56320,304,14.00,275,0
57344,305,16.67,314,0
57344,306,93.67,1507,0
57344,307,15.73,300,0
57344,308,16.60,313,0
57344,309,41.47,698,0
57344,310,16.07,306,0
57344,311,40.60,684,0
57344,312,42.00,707,0
57344,313,42.53,723,0
57344,314,16.47,310,0
57344,315,40.67,682,0
58368,316,93.60,1522,0
58368,317,16.07,306,0
58368,318,88.07,1433,0
58368,319,43.20,724,0
58368,320,16.53,311,0
58368,321,15.53,298,0
58368,322,16.73,314,0
58368,323,69.67,1138,0
59392,324,81.27,1409,0
59392,325,76.60,1243,0
59392,326,16.53,312,0
59392,327,69.07,1125,0
60416,328,49.53,836,0
60416,329,42.00,700,0
60416,330,15.60,298,0
60416,331,40.20,683,0
60416,332,16.33,310,0
60416,333,41.53,699,0
60416,334,67.07,1134,0
61440,335,87.20,1415,0
61440,336,87.20,1414,0
61440,337,68.80,1126,0
61440,338,87.33,1413,0
61440,339,16.33,310,0
61440,340,42.13,708,0
61440,341,16.20,308,0
62464,342,109.87,1794,0
62464,343,89.00,1432,0
62464,344,53.67,898,0
63488,345,74.20,1242,0
63488,346,15.40,295,0
63488,347,16.27,308,0
63488,348,53.60,898,0
63488,349,84.60,1405,0
63488,350,48.20,821,0
63488,351,40.67,690,0
64512,352,87.53,1431,0
64512,353,16.00,304,0
64512,354,49.07,828,0
64512,355,40.27,695,0
64512,356,53.60,899,0
65536,357,50.33,864,0
65536,358,87.53,1426,0
65536,359,66.93,1125,0
65536,360,87.27,1420,0
66560,361,102.13,1660,0
66560,362,51.60,867,0
66560,363,89.13,1434,0
66560,364,53.67,899,0
66560,365,14.53,285,0
67584,366,47.60,800,0
67584,367,67.47,1125,0
67584,368,53.40,898,0
67584,369,85.47,1413,0
67584,370,14.40,283,0
68608,371,67.67,1138,0
68608,372,42.27,722,0
68608,373,50.27,851,0
68608,374,43.33,722,0
68608,375,76.87,1266,0
69632,376,88.27,1420,0
69632,377,15.53,299,0
69632,378,88.00,1423,0
69632,379,42.40,722,0
69632,380,15.47,298,0
69632,381,66.67,1129,0
70656,382,15.47,296,0
70656,383,15.47,296,0
70656,384,16.40,310,0
70656,385,52.40,900,0
70656,386,51.07,861,0
70656,387,42.40,723,0
70656,388,75.40,1240,0
71680,389,53.87,898,0
71680,390,68.47,1136,0
71680,391,68.27,1124,0
72704,392,65.47,1126,0
72704,393,14.87,288,0
72704,394,15.27,294,0
72704,395,14.53,284,0
72704,396,42.07,708,0
72704,397,68.13,1132,0
72704,398,40.13,680,0
72704,399,16.00,306,0
72704,400,48.93,831,0
72704,401,16.07,305,0
72704,402,15.60,298,0
73728,403,41.40,695,0
73728,404,16.27,309,0
73728,405,16.00,303,0
73728,406,66.60,1124,0
73728,407,69.27,1149,0
73728,408,54.20,898,0
73728,409,41.67,703,0
74752,410,95.27,1525,0
74752,411,67.47,1123,0
74752,412,41.33,699,0
74752,413,14.20,279,0
74752,414,52.27,899,0
75776,415,87.00,1434,0
75776,416,50.13,846,0
75776,417,91.53,1512,0
76800,418,109.47,1782,0
76800,419,52.87,885,0
76800,420,15.93,303,0
76800,421,53.20,898,0
76800,422,16.33,309,0
76800,423,39.40,681,0
76800,424,16.20,308,0
77824,425,50.73,853,0
77824,426,68.73,1138,0
77824,427,16.47,311,0
77824,428,86.13,1432,0
77824,429,54.00,899,0
78848,430,85.60,1421,0
78848,431,15.47,297,0
78848,432,16.13,306,0
78848,433,67.60,1127,0
79872,434,85.53,1421,0
79872,435,16.07,304,0
79872,436,16.33,309,0
79872,437,85.73,1410,0
79872,438,41.20,695,0
79872,439,39.07,665,0
79872,440,39.13,667,0
79872,441,41.27,689,0
79872,442,16.27,310,0
80896,443,50.00,844,0
80896,444,109.33,1795,0
80896,445,16.47,310,0
80896,446,87.60,1431,0
80896,447,40.73,688,0
80896,448,16.07,304,0
81920,449,54.13,898,0
81920,450,15.93,303,0
81920,451,67.80,1125,0
81920,452,39.40,679,0
81920,453,42.47,722,0
82944,454,65.07,1138,0
82944,455,120.00,1929,0
82944,456,48.40,817,0
82944,457,14.53,284,0
82944,458,15.87,302,0
82944,459,14.40,283,0
83968,460,51.20,856,0
83968,461,76.80,1238,0
83968,462,16.47,312,0
83968,463,41.60,696,0
83968,464,49.13,828,0
83968,465,15.33,296,0
83968,466,69.13,1127,0
83968,467,41.80,701,0
84992,468,50.47,859,0
84992,469,68.47,1125,0
84992,470,15.47,296,0
84992,471,41.33,692,0
84992,472,40.00,678,0
84992,473,41.20,693,0
84992,474,42.07,706,0
84992,475,40.13,683,0
86016,476,52.20,898,0
86016,477,49.27,846,0
86016,478,70.00,1129,0
86016,479,40.87,689,0
86016,480,15.67,300,0
86016,481,52.20,869,0
86016,482,15.60,300,0
86016,483,15.33,295,0
86016,484,16.60,314,0
86016,485,15.87,303,0
87040,486,48.93,851,0
87040,487,67.67,1136,0
87040,488,48.73,816,0
87040,489,42.33,722,0
87040,490,42.33,723,0
88064,491,67.07,1127,0
88064,492,14.93,289,0
88064,493,64.67,1132,0
89088,494,87.93,1438,0
89088,495,92.13,1517,0
89088,496,16.40,310,0
89088,497,15.73,301,0
89088,498,39.67,676,0
89088,499,41.13,691,0
89088,500,40.93,693,0
89088,501,15.93,303,0
90112,502,47.13,792,0
90112,503,41.27,695,0
90112,504,41.20,691,0
90112,505,67.73,1126,0
90112,506,103.67,1658,0
90112,507,50.73,862,0
91136,508,67.73,1124,0
91136,509,39.13,665,0
91136,510,41.27,698,0
91136,511,16.27,308,0
91136,512,68.87,1126,0
91136,513,54.27,898,0
91136,514,16.00,305,0
91136,515,49.00,816,0
92160,516,38.87,663,0
92160,517,16.27,307,0
92160,518,16.33,308,0
92160,519,53.67,899,0
92160,520,16.53,312,0
92160,521,39.07,665,0
92160,522,15.93,305,0
92160,523,86.60,1426,0
92160,524,41.93,706,0
93184,525,87.73,1409,0
93184,526,16.07,305,0
93184,527,15.40,297,0
93184,528,88.00,1417,0
93184,529,69.07,1127,0
93184,530,41.67,700,0
93184,531,40.80,689,0
93184,532,53.87,898,0
94208,533,87.20,1413,0
94208,534,16.53,314,0
94208,535,126.60,2021,0
94208,536,15.27,294,0
94208,537,68.53,1125,0
95232,538,84.93,1410,0
95232,539,15.40,297,0
95232,540,40.67,681,0
95232,541,66.20,1133,0
95232,542,39.47,672,0
95232,543,40.33,680,0
