step,episode,ep_reward,ep_length,ep_kills,ep_max_x,died
5028,161,-7.70,21,0,12.0,1
5092,162,-0.49,64,1,94.9,1
5121,163,-3.31,29,0,55.0,1
5142,164,-4.40,21,0,40.9,1
5163,165,-3.99,21,0,47.7,1
5183,166,-4.89,20,0,32.0,1
5204,167,-6.32,21,1,15.6,1
5225,168,-6.45,21,0,22.8,1
5243,169,-3.47,18,0,52.8,1
5264,170,-7.90,21,0,0.0,1
5276,171,-4.68,12,0,43.8,1
5295,172,-2.41,19,0,68.8,1
5329,173,6.23,34,1,194.8,1
5350,174,-7.87,21,0,15.6,1
5371,175,-3.47,21,1,52.8,1
5382,176,-1.77,11,0,77.1,1
5395,177,-3.49,13,0,52.3,1
5416,178,-3.39,21,0,61.2,1
5435,179,-4.49,19,0,50.3,1
5446,180,-6.43,11,0,9.3,1
5475,181,-4.18,29,1,41.5,1
5494,182,-6.64,19,1,37.0,1
5515,183,-3.39,21,0,53.2,1
5528,184,-1.94,13,0,75.1,1
5557,185,-5.65,29,1,62.7,1
5570,186,-3.60,13,0,50.1,1
5634,187,7.45,64,1,212.6,1
5655,188,-7.44,21,0,3.9,1
5713,189,-4.90,58,1,37.2,1
5734,190,-2.49,21,1,65.4,1
5768,191,0.14,34,1,104.7,1
5786,192,-2.89,18,1,64.6,1
5807,193,-1.20,21,0,88.0,1
5828,194,2.82,21,1,143.8,1
5841,195,-6.19,13,0,20.5,1
5862,196,-4.31,21,0,60.1,1
5911,197,-5.39,49,1,36.5,1
5932,198,-3.67,21,0,58.8,1
5953,199,-2.49,21,0,66.4,1
5972,200,-7.44,19,0,29.8,1
5993,201,-5.11,21,0,31.0,1
6035,202,-2.73,42,1,63.1,1
6056,203,0.10,21,1,104.7,1
6077,204,-1.71,21,0,77.9,1
6098,205,-7.34,21,1,49.2,1
6119,206,-5.77,21,0,19.1,1
6132,207,-7.39,13,0,20.5,1
6153,208,-4.46,21,0,47.2,1
6187,209,0.35,34,1,107.5,1
6205,210,-7.70,18,0,28.9,1
6226,211,3.06,21,0,148.9,1
6246,212,-6.15,20,0,17.7,1
6257,213,-7.80,11,0,0.0,1
6278,214,-4.39,21,0,39.3,1
6306,215,-4.75,28,1,33.3,1
6327,216,-1.80,21,0,87.7,1
