step,episode,ep_reward,ep_length,ep_kills,ep_max_x,died
41619,1836,9.74,20,0,247.1,1
41643,1837,18.15,24,0,370.2,1
41664,1838,-1.11,21,0,86.7,1
41698,1839,6.33,34,1,195.7,1
41719,1840,2.87,21,1,144.3,1
41748,1841,19.02,29,1,382.1,1
41769,1842,4.94,21,1,174.8,1
41790,1843,-4.88,21,0,31.6,1
41811,1844,7.36,21,0,211.2,1
41832,1845,-0.73,21,0,92.4,1
41853,1846,5.92,21,0,190.1,1
41865,1847,1.19,12,0,121.7,1
41892,1848,-1.67,27,1,78.4,1
41912,1849,-1.39,20,0,83.8,1
41934,1850,-3.42,22,0,53.3,1
41947,1851,-6.07,13,0,13.7,1
41968,1852,9.35,21,0,241.4,1
41989,1853,-0.09,21,0,101.7,1
42010,1854,-1.94,21,0,74.5,1
42031,1855,1.99,21,0,135.0,1
42052,1856,-6.61,21,0,6.4,1
42063,1857,-0.94,11,0,90.1,1
42089,1858,4.13,26,1,162.7,1
42126,1859,19.86,37,1,394.4,1
42147,1860,-0.02,21,1,102.7,1
42159,1861,-4.27,12,0,41.4,1
42194,1862,8.14,35,1,221.8,1
42215,1863,-2.17,21,0,71.4,1
42241,1864,12.62,26,1,287.6,1
42275,1865,4.32,34,1,165.8,1
42324,1866,13.95,49,1,307.7,1
42358,1867,0.39,34,1,108.1,1
42378,1868,-0.39,20,0,97.6,1
42390,1869,0.04,12,0,104.2,1
42411,1870,4.27,21,1,164.9,1
42432,1871,-6.94,21,0,22.8,1
42453,1872,-2.72,21,0,63.0,1
42472,1873,-7.46,19,0,10.1,1
42493,1874,1.70,21,1,128.0,1
42514,1875,3.70,21,1,156.8,1
42535,1876,-1.52,21,0,80.6,1
42547,1877,-2.00,12,0,74.0,1
42568,1878,6.28,21,1,195.6,1
42589,1879,-3.48,21,0,51.9,1
42623,1880,-1.37,34,1,82.5,1
42657,1881,12.28,34,1,282.9,1
42670,1882,-7.57,13,0,15.6,1
42690,1883,-0.19,20,0,100.3,1
42711,1884,2.31,21,0,137.5,1
42745,1885,3.48,34,1,153.5,1
42766,1886,11.48,21,1,271.2,1
42788,1887,1.98,22,0,132.1,1
42822,1888,9.40,34,1,240.3,1
42843,1889,4.97,21,0,176.5,1
42856,1890,-5.79,13,0,18.8,1
42875,1891,-0.90,19,0,90.7,1
42896,1892,-6.82,21,0,15.8,1
42914,1893,-6.23,18,0,31.2,1
42934,1894,1.26,20,0,122.2,1
42955,1895,1.62,21,0,129.4,1
42976,1896,5.37,21,0,182.0,1
42997,1897,14.10,21,0,310.6,1
43018,1898,-0.84,21,0,93.0,1
43052,1899,10.37,34,1,254.9,1
43081,1900,11.72,29,1,274.9,1
43103,1901,-7.69,22,0,0.0,1
43124,1902,6.95,21,0,205.6,1
43136,1903,-5.22,12,0,26.3,1
43170,1904,11.05,34,1,264.8,1
43189,1905,-1.75,19,0,77.6,1
43210,1906,2.65,21,1,141.0,1
43230,1907,1.49,20,0,124.9,1
43251,1908,-4.38,21,0,39.4,1
43271,1909,-0.09,20,0,102.6,1
43292,1910,0.67,21,0,113.0,1
43305,1911,-7.16,13,0,10.1,1
43317,1912,0.89,12,0,117.0,1
43338,1913,-3.44,21,0,52.7,1
43350,1914,-6.50,12,0,8.0,1
43372,1915,2.60,22,1,141.2,1
43393,1916,3.46,21,1,153.2,1
43412,1917,0.86,19,0,115.7,1
43425,1918,-2.92,13,0,60.4,1
43446,1919,0.27,21,0,107.0,1
43465,1920,5.14,19,1,177.9,1
43483,1921,4.72,18,0,173.4,1
43514,1922,8.98,31,0,235.7,1
43535,1923,5.22,21,1,180.0,1
43556,1924,-1.18,21,0,89.5,1
43577,1925,4.08,21,1,162.6,1
43598,1926,0.00,21,0,103.1,1
43619,1927,4.60,21,0,171.0,1
43632,1928,-4.30,13,0,39.8,1
43653,1929,-2.65,21,0,64.1,1
43674,1930,14.66,21,0,318.9,1
43706,1931,21.46,32,1,417.9,1
43717,1932,-3.45,11,0,52.2,1
43729,1933,-5.73,12,0,19.5,1
43747,1934,6.27,18,0,195.5,1
43768,1935,-0.18,21,0,100.3,1
43798,1936,-1.51,30,1,80.2,1
43819,1937,-4.56,21,0,36.8,1
43840,1938,-2.10,21,1,72.0,1
43853,1939,-2.07,13,0,72.6,1
43871,1940,-3.50,18,0,53.5,1
43892,1941,-0.91,21,0,89.7,1
43926,1942,3.48,34,1,153.5,1
43947,1943,4.62,21,0,171.3,1
43968,1944,4.01,21,1,161.3,1
43988,1945,7.03,20,0,206.9,1
44010,1946,-2.59,22,0,65.9,1
44023,1947,-6.41,13,0,21.6,1
44044,1948,-2.38,21,0,80.1,1
44065,1949,12.34,21,1,283.8,1
44085,1950,2.14,20,1,134.7,1
44117,1951,18.15,32,1,370.1,1
44138,1952,10.27,21,0,254.3,1
44159,1953,14.92,21,1,321.8,1
44180,1954,4.15,21,0,164.1,1
44208,1955,5.23,28,1,179.5,1
44229,1956,2.77,21,1,143.9,1
44250,1957,7.58,21,0,214.9,1
44268,1958,1.45,18,0,124.3,1
44288,1959,3.38,20,0,154.0,1
44309,1960,-3.71,21,0,48.5,1
44322,1961,1.55,13,0,125.9,1
44343,1962,5.82,21,0,188.7,1
44364,1963,5.06,21,0,177.8,1
44383,1964,8.32,19,0,225.7,1
44410,1965,8.20,27,1,223.9,1
44431,1966,1.00,21,0,117.7,1
44443,1967,-4.74,12,0,33.9,1
44464,1968,7.26,21,0,210.1,1
44498,1969,9.39,34,1,240.4,1
44525,1970,24.23,27,0,460.0,1
44546,1971,4.11,21,1,162.5,1
44567,1972,5.05,21,0,177.3,1
44587,1973,7.19,20,0,209.1,1
44599,1974,-1.79,12,0,76.7,1
44625,1975,11.64,26,1,273.3,1
44646,1976,4.64,21,0,171.5,1
44675,1977,19.16,29,0,386.0,1
44696,1978,9.36,21,0,241.0,1
44717,1979,0.47,21,0,110.3,1
44738,1980,3.73,21,1,157.2,1
44759,1981,3.02,21,1,146.4,1
44772,1982,2.39,13,0,138.5,1
44793,1983,2.93,21,1,145.4,1
44811,1984,1.99,18,0,132.2,1
44831,1985,3.89,20,1,159.6,1
44852,1986,-0.12,21,0,101.3,1
44873,1987,4.40,21,0,168.7,1
44892,1988,5.56,19,0,185.1,1
44904,1989,-2.28,12,0,70.1,1
44917,1990,-0.97,13,0,88.8,1
44951,1991,13.04,34,1,294.1,1
44964,1992,-5.85,13,1,20.5,1
44976,1993,-3.89,12,0,46.4,1
44989,1994,-4.33,13,0,40.0,1
45008,1995,7.25,19,0,210.0,1
45021,1996,7.14,13,0,208.0,1
45042,1997,6.84,21,0,204.0,1
45055,1998,0.91,13,0,116.7,1
45067,1999,-4.20,12,0,41.9,1
45088,2000,8.17,21,0,223.6,1
45108,2001,0.98,20,1,116.7,1
45129,2002,-0.51,21,0,95.5,1
45140,2003,-6.54,11,0,6.8,1
45162,2004,7.96,22,0,220.3,1
45174,2005,-6.44,12,0,16.8,1
45214,2006,10.89,40,1,262.2,1
45235,2007,3.82,21,1,158.2,1
45248,2008,-1.06,13,0,87.7,1
45269,2009,2.21,21,1,134.9,1
45303,2010,16.12,34,1,339.7,1
45314,2011,-6.44,11,0,8.6,1
45333,2012,9.07,19,0,237.6,1
45344,2013,1.48,11,0,125.5,1
45365,2014,4.52,21,0,169.6,1
45386,2015,7.98,21,0,220.4,1
45407,2016,11.49,21,1,271.3,1
45419,2017,-6.13,12,0,24.9,1
45432,2018,-2.74,13,0,62.7,1
45450,2019,-0.15,18,0,101.7,1
45470,2020,5.00,20,0,177.2,1
45502,2021,21.28,32,2,414.3,1
45514,2022,-2.41,12,0,68.8,1
45526,2023,-7.10,12,0,2.6,1
45569,2024,23.44,43,1,447.4,1
45590,2025,7.62,21,0,215.4,1
45612,2026,-6.64,22,0,41.6,1
45633,2027,-1.07,21,0,87.3,1
45654,2028,-0.87,21,0,90.2,1
45675,2029,1.05,21,1,118.7,1
45709,2030,2.89,34,1,144.9,1
45730,2031,3.63,21,1,155.7,1
45751,2032,8.55,21,1,228.7,1
45770,2033,-0.71,19,0,101.6,1
45804,2034,14.20,34,1,311.5,1
45825,2035,1.88,21,0,131.8,1
45846,2036,5.71,21,0,187.4,1
45867,2037,10.50,21,1,256.8,1
45888,2038,10.77,21,1,260.7,1
45909,2039,7.37,21,0,211.7,1
45928,2040,6.69,19,0,201.7,1
45949,2041,8.24,21,0,224.6,1
45983,2042,15.07,34,1,324.2,1
46004,2043,5.20,21,0,179.8,1
46031,2044,10.60,27,0,259.5,1
46052,2045,11.62,21,1,273.6,1
46072,2046,-2.30,20,0,69.5,1
46093,2047,10.67,21,0,259.9,1
46105,2048,-1.86,12,0,76.3,1
46139,2049,11.65,34,1,274.0,1
46151,2050,0.63,12,0,113.2,1
46170,2051,3.59,19,0,156.6,1
46191,2052,13.52,21,0,302.2,1
46212,2053,5.48,21,0,183.9,1
46246,2054,12.40,34,1,285.0,1
46267,2055,11.79,21,1,275.7,1
46279,2056,-1.99,12,0,73.8,1
46300,2057,8.66,21,0,230.4,1
46312,2058,-3.51,12,0,52.3,1
46324,2059,-1.56,12,0,80.1,1
46345,2060,3.64,21,0,156.5,1
46372,2061,5.57,27,1,184.3,1
46400,2062,5.00,28,1,176.1,1
46411,2063,-2.78,11,0,62.2,1
46432,2064,10.79,21,0,262.0,1
46453,2065,0.96,21,0,117.2,1
46487,2066,15.74,34,1,334.1,1
46508,2067,4.15,21,1,163.1,1
46521,2068,-5.07,13,0,29.1,1
46542,2069,4.73,21,0,172.9,1
46582,2070,20.91,40,1,410.1,1
46603,2071,2.99,21,1,146.0,1
46636,2072,18.42,33,1,374.1,1
46649,2073,4.33,13,0,166.7,1
46690,2074,33.17,41,1,589.8,1
46711,2075,6.68,21,0,201.6,1
46738,2076,20.91,27,0,410.8,1
46750,2077,1.35,12,0,122.9,1
46768,2078,-1.19,18,1,84.8,1
46801,2079,13.57,33,1,302.2,1
46822,2080,-2.88,21,0,60.6,1
46841,2081,5.09,19,0,178.7,1
46852,2082,-0.56,11,0,96.0,1
46873,2083,7.67,21,0,216.2,1
46908,2084,20.61,35,1,405.5,1
46929,2085,11.58,21,1,272.7,1
46950,2086,14.52,21,1,315.5,1
46984,2087,15.75,34,1,334.2,1
47005,2088,-2.20,21,0,70.7,1
47037,2089,17.96,32,1,366.5,1
47058,2090,1.70,21,0,128.3,1
47092,2091,15.14,34,1,325.3,1
47113,2092,6.20,21,0,194.5,1
47142,2093,14.30,29,1,313.5,1
47163,2094,17.21,21,1,356.3,1
47184,2095,11.94,21,1,278.0,1
47196,2096,-3.12,12,0,57.4,1
47217,2097,7.81,21,0,218.2,1
47248,2098,19.95,31,1,395.8,1
47269,2099,5.47,21,0,183.7,1
47290,2100,1.58,21,0,126.6,1
47311,2101,2.72,21,1,142.1,1
47323,2102,-0.91,12,0,91.2,1
47343,2103,8.90,20,0,233.9,1
47364,2104,5.25,21,0,180.5,1
47377,2105,0.17,13,0,106.1,1
47398,2106,5.62,21,0,186.0,1
47427,2107,7.35,29,0,212.0,1
47464,2108,19.56,37,1,390.3,1
47499,2109,18.22,35,1,370.3,1
47520,2110,7.93,21,0,220.0,1
47555,2111,10.49,35,1,256.9,1
47575,2112,2.68,20,1,141.7,1
47595,2113,1.31,20,0,122.3,1
47614,2114,5.89,19,0,190.0,1
47627,2115,2.38,13,0,138.1,1
47647,2116,5.50,20,0,184.5,1
47680,2117,21.82,33,1,423.2,1
47707,2118,16.16,27,1,340.2,1
47725,2119,-4.47,18,0,38.2,1
47759,2120,13.63,34,1,302.7,1
47793,2121,12.75,34,1,289.9,1
47812,2122,21.38,19,0,417.5,1
47833,2123,5.14,21,0,178.6,1
47854,2124,11.27,21,1,268.0,1
47888,2125,19.28,34,1,385.9,1
47907,2126,7.34,19,0,211.3,1
47920,2127,0.76,13,0,115.1,1
47932,2128,-1.74,12,0,77.8,1
47953,2129,5.44,21,0,183.1,1
47976,2130,19.68,23,1,392.1,1
47995,2131,6.93,19,0,205.2,1
48016,2132,14.64,21,1,317.3,1
48036,2133,0.77,20,0,114.6,1
48071,2134,17.90,35,1,366.4,1
48084,2135,-0.73,13,0,92.3,1
48097,2136,-1.82,13,0,76.9,1
48122,2137,22.96,25,1,440.3,1
48143,2138,5.32,21,0,181.3,1
48164,2139,5.92,21,0,190.4,1
48185,2140,11.88,21,1,277.1,1
48206,2141,-2.58,21,0,65.1,1
48227,2142,3.84,21,1,158.9,1
48248,2143,14.93,21,0,323.2,1
48261,2144,1.69,13,0,127.9,1
48282,2145,2.79,21,1,143.1,1
48316,2146,14.68,34,1,318.6,1
48337,2147,8.52,21,0,228.6,1
48363,2148,26.61,26,3,491.7,1
48389,2149,21.90,26,1,424.4,1
48415,2150,4.71,26,0,172.3,1
48436,2151,5.84,21,0,189.0,1
48457,2152,11.19,21,1,266.9,1
48468,2153,-0.71,11,0,93.2,1
48489,2154,15.98,21,1,337.4,1
48519,2155,19.97,30,1,396.0,1
48548,2156,17.73,29,1,363.1,1
48569,2157,9.97,21,0,249.9,1
48587,2158,6.08,18,0,192.5,1
48608,2159,7.35,21,0,212.1,1
48640,2160,20.61,32,1,405.7,1
48659,2161,8.20,19,0,224.0,1
48680,2162,13.04,21,0,294.8,1
48710,2163,21.60,30,1,420.6,1
48741,2164,17.92,31,1,366.8,1
48762,2165,9.96,21,0,250.4,1
48790,2166,19.97,28,1,395.7,1
48812,2167,4.37,22,0,168.5,1
48833,2168,5.35,21,0,182.0,1
48845,2169,-2.22,12,0,70.7,1
48857,2170,-2.58,12,0,65.6,1
48878,2171,9.28,21,0,239.7,1
48896,2172,1.51,18,0,125.6,1
48916,2173,20.61,20,0,406.1,1
48936,2174,22.06,20,0,428.3,1
48949,2175,-2.78,13,0,62.1,1
48970,2176,13.61,21,0,303.8,1
48989,2177,-5.23,19,0,26.4,1
49008,2178,12.29,19,0,284.0,1
49041,2179,18.04,33,1,367.6,1
49062,2180,4.16,21,0,164.2,1
49083,2181,8.27,21,0,224.9,1
49104,2182,6.29,21,0,195.6,1
49117,2183,4.32,13,0,166.6,1
49130,2184,-4.56,13,0,36.5,1
49151,2185,13.49,21,0,301.8,1
49169,2186,4.33,18,0,166.7,1
49205,2187,23.93,36,1,453.9,1
49226,2188,10.38,21,1,254.7,1
49253,2189,15.98,27,1,337.0,1
49274,2190,6.81,21,0,203.5,1
49304,2191,14.19,30,1,310.8,1
49337,2192,18.88,33,1,380.3,1
49358,2193,17.09,21,0,355.0,1
49369,2194,-4.82,11,0,32.1,1
49388,2195,9.49,19,0,243.0,1
49400,2196,-6.29,12,0,20.6,1
49429,2197,21.46,29,1,417.7,1
49455,2198,16.07,26,0,339.6,1
49468,2199,-4.11,13,0,42.8,1
49502,2200,15.31,34,1,327.8,1
49515,2201,-0.84,13,0,91.0,1
49535,2202,10.97,20,0,264.7,1
49554,2203,20.13,19,0,399.7,1
49579,2204,24.54,25,0,464.5,1
49591,2205,-3.57,12,0,53.3,1
49610,2206,7.67,19,0,216.2,1
49623,2207,-0.17,13,0,100.8,1
49644,2208,10.58,21,0,258.9,1
49665,2209,8.46,21,0,227.7,1
49684,2210,11.72,19,0,275.6,1
49703,2211,7.74,19,0,217.2,1
49724,2212,15.80,21,1,334.4,1
49743,2213,5.35,19,0,181.9,1
49764,2214,10.67,21,0,260.8,1
49777,2215,3.24,13,0,150.7,1
49797,2216,6.61,20,0,200.5,1
49822,2217,26.58,25,0,493.9,1
49843,2218,8.46,21,0,227.7,1
49875,2219,22.58,32,1,434.4,1
49894,2220,7.99,19,0,220.9,1
49907,2221,-0.01,13,0,104.0,1
49919,2222,1.41,12,0,123.8,1
49932,2223,5.42,13,0,182.8,1
49953,2224,15.90,21,1,336.2,1
49979,2225,17.49,26,1,359.9,1
49990,2226,-4.14,11,0,42.1,1
50003,2227,-1.13,13,0,86.7,1
50039,2228,25.51,36,2,476.8,1
50060,2229,15.01,21,0,324.1,1
50081,2230,9.77,21,0,247.0,1
50094,2231,3.11,13,0,148.8,1
50115,2232,7.91,21,0,219.6,1
50128,2233,-2.52,13,0,66.3,1
50147,2234,-0.81,19,0,91.4,1
50168,2235,13.78,21,0,306.0,1
50189,2236,7.93,21,0,219.9,1
50207,2237,8.53,18,0,228.8,1
50228,2238,12.35,21,1,284.0,1
50255,2239,18.76,27,0,379.0,1
50268,2240,-0.01,13,0,103.2,1
50295,2241,10.93,27,1,262.7,1
50313,2242,13.22,18,0,297.8,1
50325,2243,-0.06,12,0,102.7,1
50345,2244,7.46,20,0,212.8,1
50366,2245,16.55,21,1,345.7,1
50386,2246,2.59,20,0,141.1,1
50407,2247,6.63,21,0,200.9,1
50428,2248,4.69,21,0,172.3,1
50447,2249,8.36,19,0,226.3,1
50460,2250,-5.59,13,0,22.7,1
50481,2251,7.47,21,0,213.2,1
50502,2252,7.73,21,0,217.0,1
50523,2253,11.08,21,1,265.3,1
50542,2254,4.87,19,0,174.9,1
50563,2255,2.02,21,0,133.1,1
50591,2256,17.43,28,1,358.3,1
50610,2257,10.48,19,0,257.5,1
50642,2258,18.04,32,1,367.7,1
50678,2259,30.56,36,1,552.4,1
50707,2260,19.93,29,1,395.5,1
50726,2261,7.11,19,0,207.9,1
50747,2262,9.49,21,0,242.8,1
50775,2263,28.04,28,2,513.7,1
50787,2264,-0.49,12,0,95.9,1
50808,2265,8.35,21,0,226.1,1
50827,2266,6.66,19,0,201.9,1
50856,2267,10.49,29,1,256.3,1
50876,2268,24.34,20,0,461.8,1
50887,2269,-2.45,11,0,67.0,1
50921,2270,17.29,34,1,357.2,1
50942,2271,3.80,21,1,157.9,1
50954,2272,-1.50,12,0,80.9,1
50973,2273,8.63,19,0,230.3,1
51008,2274,19.71,35,1,392.2,1
51027,2275,9.07,19,0,236.7,1
51060,2276,18.35,33,1,373.0,1
51081,2277,13.67,21,0,304.4,1
51115,2278,23.04,34,1,440.9,1
51134,2279,10.08,19,0,251.6,1
51155,2280,11.24,21,1,267.6,1
51167,2281,2.48,12,0,139.5,1
51187,2282,1.65,20,1,126.6,1
51200,2283,-0.93,13,0,89.7,1
51213,2284,-0.78,13,0,92.2,1
51233,2285,7.07,20,0,207.6,1
51246,2286,0.93,13,0,117.1,1
51257,2287,-1.92,11,0,74.8,1
51269,2288,2.05,12,0,134.1,1
51287,2289,9.17,18,0,238.7,1
51308,2290,6.03,21,1,190.7,1
51329,2291,3.01,21,1,146.3,1
51350,2292,7.56,21,0,214.6,1
51369,2293,14.31,19,0,313.7,1
51390,2294,12.43,21,1,285.5,1
51402,2295,-1.64,12,0,79.0,1
51414,2296,-2.81,12,0,62.6,1
51433,2297,9.35,19,0,240.8,1
51454,2298,17.57,21,1,361.6,1
51475,2299,17.60,21,0,362.1,1
51494,2300,8.58,19,0,229.5,1
51515,2301,14.22,21,0,312.5,1
51534,2302,7.54,19,0,214.2,1
51555,2303,11.96,21,1,278.2,1
51580,2304,19.48,25,1,388.6,1
51610,2305,22.94,30,1,440.2,1
51621,2306,-0.64,11,0,94.2,1
51640,2307,2.17,19,0,135.2,1
51653,2308,-0.20,13,0,100.2,1
51674,2309,6.48,21,0,198.3,1
51704,2310,17.71,30,1,362.9,1
51717,2311,-1.70,13,0,78.3,1
51736,2312,6.78,19,0,203.0,1
51747,2313,0.03,11,0,103.8,1
51776,2314,20.31,29,1,401.7,1
51788,2315,-2.04,12,0,73.0,1
51809,2316,8.82,21,0,233.0,1
51838,2317,17.86,29,1,365.0,1
51866,2318,18.68,28,1,376.8,1
51879,2319,4.79,13,0,173.5,1
51915,2320,31.28,36,1,562.6,1
51936,2321,11.64,21,1,273.6,1
51969,2322,25.33,33,1,475.5,1
51990,2323,7.39,21,0,212.0,1
52016,2324,16.96,26,1,351.4,1
52037,2325,6.97,21,0,205.5,1
52056,2326,6.51,19,0,199.1,1
52077,2327,13.85,21,1,305.8,1
52101,2328,22.68,24,1,436.8,1
52113,2329,-2.03,12,0,73.5,1
52145,2330,22.39,32,1,432.2,1
52158,2331,5.19,13,0,179.4,1
52170,2332,-0.08,12,0,102.2,1
52191,2333,7.66,21,0,215.9,1
52212,2334,12.80,21,1,290.6,1
52231,2335,8.39,19,0,226.8,1
52261,2336,22.85,30,1,438.4,1
52273,2337,-4.64,12,0,35.1,1
52285,2338,0.84,12,0,116.0,1
52297,2339,0.69,12,0,113.2,1
52325,2340,26.35,28,1,489.9,1
52344,2341,11.48,19,0,272.2,1
52365,2342,14.06,21,0,310.1,1
52378,2343,4.79,13,0,173.5,1
52410,2344,26.51,32,2,491.5,1
52422,2345,3.43,12,0,153.5,1
52451,2346,35.84,29,1,629.1,1
52470,2347,16.75,19,1,349.0,1
52505,2348,47.52,35,1,801.1,1
52526,2349,16.61,21,0,347.6,1
52547,2350,15.34,21,0,328.9,1
52559,2351,3.39,12,0,154.1,1
52572,2352,0.00,13,0,104.3,1
52584,2353,1.19,12,0,120.6,1
52603,2354,7.51,19,0,213.4,1
52624,2355,22.77,21,1,436.9,1
52637,2356,2.90,13,0,146.0,1
52658,2357,6.79,21,0,203.2,1
52677,2358,12.51,19,0,287.5,1
52706,2359,22.59,29,1,435.1,1
52729,2360,24.32,23,0,461.0,1
52740,2361,-2.97,11,0,59.4,1
52762,2362,19.38,22,0,388.3,1
52786,2363,26.58,24,0,495.1,1
52798,2364,-4.13,12,0,42.3,1
52819,2365,8.97,21,0,235.2,1
52854,2366,51.42,35,2,858.4,1
52882,2367,25.25,28,1,473.7,1
52903,2368,14.62,21,0,318.3,1
52914,2369,0.45,11,0,109.9,1
52935,2370,17.24,21,1,355.9,1
52948,2371,-0.98,13,0,88.7,1
52967,2372,8.56,19,0,229.0,1
53002,2373,47.94,35,3,805.4,1
53021,2374,6.28,19,0,195.7,1
53033,2375,1.10,12,0,120.4,1
53052,2376,10.01,19,0,250.6,1
53076,2377,25.61,24,0,479.6,1
53088,2378,0.09,12,0,104.4,1
53125,2379,48.36,37,2,812.5,1
53144,2380,4.71,19,0,172.4,1
53165,2381,10.58,21,0,258.9,1
53178,2382,3.67,13,0,156.9,1
53191,2383,-2.26,13,0,70.7,1
53212,2384,15.96,21,0,339.0,1
53232,2385,7.52,20,0,214.2,1
53251,2386,22.59,19,0,435.3,1
53270,2387,25.09,19,0,472.6,1
53282,2388,-2.15,12,0,72.0,1
53294,2389,0.39,12,0,108.8,1
53315,2390,8.42,21,0,227.2,1
53336,2391,16.09,21,2,337.7,1
53355,2392,6.82,19,0,203.3,1
53379,2393,26.58,24,0,495.1,1
53400,2394,17.64,21,2,360.8,1
53411,2395,1.26,11,0,121.5,1
53432,2396,21.14,21,0,414.0,1
53453,2397,15.50,21,1,330.0,1
53472,2398,8.98,19,0,235.4,1
53484,2399,-2.89,12,0,60.5,1
53496,2400,-0.03,12,0,103.2,1
53509,2401,0.23,13,0,106.7,1
53528,2402,13.51,19,0,302.0,1
53554,2403,22.86,26,1,439.1,1
53567,2404,1.05,13,0,118.5,1
53579,2405,1.50,12,0,125.6,1
53600,2406,16.61,21,0,347.6,1
53621,2407,7.36,21,0,211.3,1
53633,2408,8.11,12,0,222.6,1
53652,2409,10.49,19,0,257.7,1
53681,2410,18.40,29,1,373.0,1
53694,2411,0.38,13,0,109.5,1
53718,2412,29.71,24,1,539.2,1
53750,2413,28.32,32,1,518.5,1
53771,2414,7.42,21,0,212.5,1
53789,2415,8.15,18,0,223.2,1
53808,2416,6.75,19,0,202.6,1
53829,2417,12.64,21,1,288.5,1
53850,2418,14.31,21,0,313.7,1
53863,2419,0.34,13,0,108.9,1
53883,2420,13.38,20,0,300.6,1
53904,2421,13.66,21,0,304.2,1
53917,2422,4.19,13,0,164.6,1
53938,2423,16.37,21,0,344.6,1
53959,2424,21.29,21,0,416.1,1
53993,2425,21.02,34,1,411.5,1
54006,2426,1.24,13,0,121.3,1
54032,2427,17.06,26,1,352.9,1
54053,2428,11.06,21,0,266.0,1
54064,2429,2.67,11,0,142.9,1
54076,2430,-0.28,12,0,99.0,1
54089,2431,1.16,13,0,120.4,1
54119,2432,23.70,30,1,451.5,1
54132,2433,5.45,13,0,183.2,1
54153,2434,8.65,21,0,230.6,1
54177,2435,26.58,24,0,495.1,1
54198,2436,13.33,21,0,299.4,1
54211,2437,3.45,13,0,154.1,1
54231,2438,16.39,20,1,343.4,1
54252,2439,8.85,21,0,233.8,1
54273,2440,11.62,21,1,273.2,1
54284,2441,2.38,11,0,138.3,1
54296,2442,1.49,12,0,125.5,1
54316,2443,2.71,20,1,141.9,1
54335,2444,10.62,19,0,259.5,1
54355,2445,16.47,20,0,345.8,1
54376,2446,7.91,21,0,219.7,1
54397,2447,13.72,21,0,305.0,1
54416,2448,16.42,19,0,345.1,1
54436,2449,21.51,20,0,419.7,1
54454,2450,-1.23,18,0,85.3,1
54475,2451,11.63,21,1,273.4,1
54494,2452,7.73,19,0,217.0,1
54515,2453,10.96,21,0,264.5,1
54526,2454,-0.10,11,0,102.2,1
54547,2455,17.03,21,0,354.4,1
54568,2456,9.97,21,0,249.9,1
54587,2457,9.68,19,0,245.7,1
54618,2458,33.89,31,1,600.4,1
54639,2459,8.37,21,0,226.1,1
54660,2460,17.04,21,1,353.3,1
54679,2461,7.77,19,0,217.6,1
54704,2462,26.81,25,1,496.3,1
54716,2463,-0.57,12,0,95.6,1
54737,2464,17.17,21,1,354.9,1
54748,2465,-0.65,11,0,93.8,1
54769,2466,8.31,21,0,225.3,1
54781,2467,5.96,12,0,190.7,1
54794,2468,5.44,13,0,183.0,1
54830,2469,51.62,36,2,860.5,1
54851,2470,16.21,21,1,340.7,1
54873,2471,33.55,22,1,595.4,1
54895,2472,13.64,22,0,303.7,1
54916,2473,16.38,21,2,341.9,1
54935,2474,10.10,19,0,251.6,1
54954,2475,8.48,19,0,228.0,1
54967,2476,-1.67,13,0,79.4,1
54986,2477,6.63,19,0,200.8,1
55007,2478,12.97,21,1,293.1,1
55020,2479,3.03,13,0,147.7,1
55041,2480,9.35,21,0,240.9,1
55062,2481,22.55,21,0,434.7,1
55082,2482,13.11,20,0,296.7,1
55101,2483,6.98,19,0,206.3,1
55122,2484,15.36,21,1,328.2,1
55151,2485,22.23,29,1,429.3,1
55162,2486,-4.07,11,0,43.2,1
55174,2487,3.26,12,0,151.0,1
55195,2488,6.86,21,0,203.9,1
55216,2489,26.04,21,0,486.3,1
55235,2490,11.17,19,0,267.5,1
55256,2491,9.79,21,0,247.3,1
55284,2492,23.13,28,1,443.1,1
55305,2493,15.69,21,0,333.7,1
55318,2494,5.77,13,0,188.5,1
55336,2495,18.40,18,0,374.2,1
55348,2496,3.03,12,0,148.8,1
55369,2497,14.65,21,0,318.7,1
55388,2498,13.89,19,1,306.9,1
55401,2499,1.53,13,0,126.1,1
55422,2500,13.05,21,1,294.0,1
55441,2501,10.95,19,0,264.7,1
55462,2502,13.43,21,1,299.5,1
55481,2503,10.93,19,0,264.0,1
55494,2504,4.65,13,0,171.7,1
55520,2505,29.17,26,1,532.0,1
55555,2506,51.50,35,2,858.8,1
55579,2507,26.58,24,0,495.1,1
55590,2508,1.94,11,0,131.8,1
55615,2509,29.31,25,1,533.1,1
55627,2510,-1.00,12,0,89.2,1
55640,2511,7.54,13,0,214.6,1
55652,2512,2.44,12,0,140.1,1
55673,2513,12.92,21,0,293.3,1
55694,2514,17.30,21,2,355.5,1
55715,2515,13.62,21,0,303.7,1
55734,2516,17.07,19,0,354.0,1
55752,2517,22.60,18,0,436.0,1
55786,2518,48.10,34,1,809.7,1
55798,2519,1.41,12,0,123.8,1
55811,2520,4.32,13,0,166.6,1
55834,2521,25.04,23,0,471.3,1
55852,2522,23.86,18,0,454.5,1
55864,2523,3.27,12,1,150.5,1
55877,2524,6.25,13,0,195.0,1
55889,2525,1.31,12,0,122.9,1
55910,2526,9.46,21,0,242.4,1
