step,episode,ep_reward,ep_length,ep_kills,ep_max_x,healthpacks_picked,health_gained,final_health,died
14112,106,353.09,109,0,0.0,1,8.0,-4.0,1
14216,107,332.05,104,0,0.0,1,8.0,-4.0,1
14310,108,290.09,94,0,0.0,0,0.0,-4.0,1
14404,109,290.04,94,0,0.0,0,0.0,-4.0,1
14520,110,382.53,116,0,0.0,2,16.0,-4.0,1
14638,111,390.89,118,0,0.0,2,16.0,-4.0,1
14742,112,332.05,104,0,0.0,1,8.0,-4.0,1
14862,113,399.30,120,0,0.0,1,25.0,-3.0,1
14970,114,348.85,108,0,0.0,1,8.0,-4.0,1
15070,115,315.32,100,0,0.0,1,8.0,-4.0,1
15170,116,315.33,100,0,0.0,1,8.0,-4.0,1
15280,117,357.29,110,0,0.0,1,8.0,-4.0,1
15373,118,285.84,93,0,0.0,0,0.0,-4.0,1
525,1,2206.77,525,0,0.0,25,528.0,100.0,0
1047,2,2192.56,522,0,0.0,23,488.0,68.0,0
1569,3,2193.69,522,0,0.0,24,496.0,92.0,0
2091,4,2192.84,522,0,0.0,24,448.0,76.0,0
2612,5,2189.96,521,0,0.0,28,496.0,100.0,0
2744,6,449.79,132,0,0.0,3,41.0,-3.0,1
3264,7,2185.51,520,0,0.0,22,512.0,100.0,0
3595,8,1286.17,331,0,0.0,11,229.0,-7.0,1
4120,9,2204.69,525,0,0.0,20,474.0,62.0,0
4643,10,2198.05,523,0,0.0,27,496.0,92.0,0
4926,11,1084.78,283,0,0.0,11,193.0,-3.0,1
5089,12,580.62,163,0,0.0,3,75.0,-1.0,1
5614,13,2205.10,525,0,0.0,22,490.0,70.0,0
5731,14,387.13,117,0,0.0,1,25.0,-3.0,1
6254,15,2198.35,523,0,0.0,30,512.0,100.0,0
6774,16,2184.16,520,0,0.0,26,482.0,70.0,0
7296,17,2193.30,522,0,0.0,25,474.0,86.0,0
7818,18,2191.24,522,0,0.0,23,472.0,44.0,0
8338,19,2184.02,520,0,0.0,26,468.0,72.0,0
8860,20,2193.74,522,0,0.0,25,504.0,92.0,0
9381,21,2189.63,521,0,0.0,26,496.0,92.0,0
9905,22,2201.60,524,0,0.0,27,496.0,84.0,0
522,1,2194.07,522,0,0.0,23,472.0,100.0,0
1047,2,2204.85,525,0,0.0,24,460.0,64.0,0
1572,3,2206.40,525,0,0.0,27,472.0,92.0,0
2092,4,2185.23,520,0,0.0,28,504.0,100.0,0
2614,5,2193.49,522,0,0.0,25,520.0,92.0,0
2946,6,1290.73,332,0,0.0,12,235.0,-1.0,1
3294,7,1358.07,348,0,0.0,13,258.0,-2.0,1
3817,8,2198.41,523,0,0.0,25,480.0,100.0,0
4109,9,1122.68,292,0,0.0,10,194.0,-2.0,1
4631,10,2194.22,522,0,0.0,24,488.0,100.0,0
5153,11,2193.38,522,0,0.0,26,480.0,84.0,0
5675,12,2193.76,522,0,0.0,26,472.0,92.0,0
5865,13,694.12,190,0,0.0,4,100.0,0.0,1
6385,14,2185.29,520,0,0.0,25,498.0,94.0,0
6907,15,2193.93,522,0,0.0,24,528.0,100.0,0
7432,16,2205.95,525,0,0.0,26,480.0,84.0,0
7957,17,2206.33,525,0,0.0,30,504.0,92.0,0
8479,18,2194.04,522,0,0.0,28,480.0,100.0,0
9003,19,2201.87,524,0,0.0,28,504.0,84.0,0
9525,20,2193.09,522,0,0.0,26,459.0,79.0,0
9617,21,281.95,92,0,0.0,0,0.0,-4.0,1
10137,22,2185.43,520,0,0.0,26,504.0,92.0,0
10662,23,2203.85,525,0,0.0,24,448.0,44.0,0
11184,24,2193.84,522,0,0.0,25,456.0,92.0,0
11653,25,1866.12,469,0,0.0,22,352.0,-4.0,1
12178,26,2206.91,525,0,0.0,30,512.0,100.0,0
12700,27,2193.27,522,0,0.0,26,480.0,76.0,0
13220,28,2185.33,520,0,0.0,30,472.0,92.0,0
13740,29,2185.31,520,0,0.0,26,488.0,92.0,0
14260,30,2185.27,520,0,0.0,26,456.0,92.0,0
14782,31,2192.68,522,0,0.0,25,456.0,68.0,0
15306,32,2202.09,524,0,0.0,27,440.0,92.0,0
15831,33,2206.41,525,0,0.0,30,496.0,92.0,0
16352,34,2189.78,521,0,0.0,25,448.0,92.0,0
16877,35,2205.95,525,0,0.0,33,480.0,84.0,0
17398,36,2189.07,521,0,0.0,28,504.0,84.0,0
17920,37,2193.49,522,0,0.0,30,512.0,92.0,0
18445,38,2204.95,525,0,0.0,23,461.0,65.0,0
18965,39,2185.84,520,0,0.0,29,464.0,100.0,0
19485,40,2184.27,520,0,0.0,26,437.0,73.0,0
20006,41,2189.54,521,0,0.0,31,472.0,92.0,0
20527,42,2188.99,521,0,0.0,27,472.0,84.0,0
20837,43,1198.38,310,0,0.0,11,212.0,0.0,1
21360,44,2197.17,523,0,0.0,30,464.0,76.0,0
21836,45,1895.62,476,0,0.0,22,352.0,-4.0,1
22357,46,2187.97,521,0,0.0,23,472.0,60.0,0
22878,47,2187.95,521,0,0.0,27,491.0,63.0,0
23338,48,1828.31,460,0,0.0,18,320.0,-4.0,1
23862,49,2200.84,524,0,0.0,25,488.0,68.0,0
24385,50,2193.95,523,0,0.0,21,442.0,22.0,0
24477,51,281.94,92,0,0.0,0,0.0,-4.0,1
24998,52,2189.97,521,0,0.0,32,488.0,100.0,0
25202,53,752.90,204,0,0.0,6,114.0,-2.0,1
25725,54,2198.16,523,0,0.0,24,520.0,100.0,0
25820,55,294.56,95,0,0.0,0,0.0,-4.0,1
26341,56,2189.24,521,0,0.0,25,473.0,85.0,0
26861,57,2184.76,520,0,0.0,26,477.0,81.0,0
27383,58,2193.31,522,0,0.0,28,481.0,85.0,0
27905,59,2193.26,522,0,0.0,27,472.0,84.0,0
28430,60,2206.41,525,0,0.0,26,512.0,92.0,0
28952,61,2193.37,522,0,0.0,29,472.0,76.0,0
29477,62,2206.90,525,0,0.0,26,496.0,100.0,0
29998,63,2189.64,521,0,0.0,30,472.0,92.0,0
30520,64,2194.36,522,0,0.0,29,472.0,100.0,0
30984,65,1845.54,464,0,0.0,23,356.0,0.0,1
31506,66,2193.28,522,0,0.0,26,464.0,84.0,0
32028,67,2193.85,522,0,0.0,33,504.0,92.0,0
32549,68,2189.63,521,0,0.0,25,520.0,100.0,0
33073,69,2202.59,524,0,0.0,24,520.0,100.0,0
33598,70,2206.20,525,0,0.0,27,480.0,92.0,0
